Time,SSC_50cm(kg/m3),depth
2014/9/26 14:06,0.12,2.42
2014/9/26 14:08,0.11,2.41
2014/9/26 14:10,0.13,2.4
2014/9/26 14:12,0.12,2.39
2014/9/26 14:14,0.13,2.38
2014/9/26 14:16,0.11,2.36
2014/9/26 14:18,0.11,2.34
2014/9/26 14:20,0.11,2.32
2014/9/26 14:22,0.11,2.31
2014/9/26 14:24,0.11,2.29
2014/9/26 14:26,0.11,2.28
2014/9/26 14:28,0.11,2.26
2014/9/26 14:30,0.11,2.24
2014/9/26 14:32,0.11,2.23
2014/9/26 14:34,0.11,2.21
2014/9/26 14:36,0.11,2.19
2014/9/26 14:38,0.11,2.17
2014/9/26 14:40,0.11,2.15
2014/9/26 14:42,0.11,2.12
2014/9/26 14:44,0.11,2.09
2014/9/26 14:46,0.11,2.07
2014/9/26 14:48,0.11,2.05
2014/9/26 14:50,0.12,2.02
2014/9/26 14:52,0.12,1.99
2014/9/26 14:54,0.14,1.97
2014/9/26 14:56,0.14,1.94
2014/9/26 14:58,0.11,1.92
2014/9/26 15:00,0.11,1.9
2014/9/26 15:02,0.14,1.86
2014/9/26 15:04,0.12,1.85
2014/9/26 15:06,0.14,1.82
2014/9/26 15:08,0.12,1.8
2014/9/26 15:10,0.11,1.77
2014/9/26 15:12,0.12,1.75
2014/9/26 15:14,0.11,1.74
2014/9/26 15:16,0.11,1.7
2014/9/26 15:18,0.12,1.68
2014/9/26 15:20,0.12,1.65
2014/9/26 15:22,0.12,1.64
2014/9/26 15:24,0.14,1.61
2014/9/26 15:26,0.16,1.59
2014/9/26 15:28,0.14,1.57
2014/9/26 15:30,0.15,1.54
2014/9/26 15:32,0.15,1.52
2014/9/26 15:34,0.14,1.51
2014/9/26 15:36,0.12,1.49
2014/9/26 15:38,0.13,1.47
2014/9/26 15:40,0.13,1.45
2014/9/26 15:42,0.12,1.43
2014/9/26 15:44,0.13,1.41
2014/9/26 15:46,0.15,1.39
2014/9/26 15:48,0.16,1.38
2014/9/26 15:50,0.13,1.36
2014/9/26 15:52,0.13,1.34
2014/9/26 15:54,0.13,1.33
2014/9/26 15:56,0.12,1.29
2014/9/26 15:58,0.13,1.29
2014/9/26 16:00,0.13,1.27
2014/9/26 16:02,0.14,1.24
2014/9/26 16:04,0.13,1.23
2014/9/26 16:06,0.13,1.2
2014/9/26 16:08,0.2,1.18
2014/9/26 16:10,0.15,1.17
2014/9/26 16:12,0.21,1.15
2014/9/26 16:14,0.21,1.14
2014/9/26 16:16,0.18,1.11
2014/9/26 16:18,0.17,1.09
2014/9/26 16:20,0.18,1.08
2014/9/26 16:22,0.17,1.06
2014/9/26 16:24,0.14,1.04
2014/9/26 16:26,0.15,1.02
2014/9/26 16:28,0.14,1
2014/9/26 16:30,0.14,0.98
2014/9/26 16:32,0.14,0.96
2014/9/26 16:34,0.15,0.95
2014/9/26 16:36,0.15,0.93
2014/9/26 16:38,0.14,0.91
2014/9/26 16:40,0.13,0.89
2014/9/26 16:42,0.14,0.87
2014/9/26 16:44,0.16,0.86
2014/9/26 16:46,0.15,0.84
2014/9/26 16:48,0.15,0.82
2014/9/26 16:50,0.13,0.81
2014/9/26 16:52,0.12,0.77
2014/9/26 16:54,0.12,0.77
2014/9/26 16:56,0.12,0.75
2014/9/26 16:58,0.12,0.73
2014/9/26 17:00,0.12,0.7
2014/9/26 17:02,0.13,0.69
2014/9/26 17:04,0.12,0.67
2014/9/26 17:06,0.13,0.64
2014/9/26 17:08,NAN,NAN
2014/9/26 23:20,0.25,0.64
2014/9/26 23:22,0.25,0.67
2014/9/26 23:24,0.25,0.7
2014/9/26 23:26,0.23,0.73
2014/9/26 23:28,0.24,0.76
2014/9/26 23:30,0.23,0.79
2014/9/26 23:32,0.24,0.83
2014/9/26 23:34,0.25,0.85
2014/9/26 23:36,0.24,0.88
2014/9/26 23:38,0.23,0.91
2014/9/26 23:40,0.23,0.93
2014/9/26 23:42,0.24,0.96
2014/9/26 23:44,0.22,0.99
2014/9/26 23:46,0.22,1.01
2014/9/26 23:48,0.21,1.04
2014/9/26 23:50,0.21,1.06
2014/9/26 23:52,0.2,1.08
2014/9/26 23:54,0.2,1.11
2014/9/26 23:56,0.19,1.13
2014/9/26 23:58,0.19,1.15
2014/9/27 0:00,0.19,1.17
2014/9/27 0:02,0.18,1.2
2014/9/27 0:04,0.18,1.22
2014/9/27 0:06,0.19,1.24
2014/9/27 0:08,0.2,1.26
2014/9/27 0:10,0.19,1.28
2014/9/27 0:12,0.2,1.31
2014/9/27 0:14,0.2,1.32
2014/9/27 0:16,0.19,1.35
2014/9/27 0:18,0.18,1.37
2014/9/27 0:20,0.18,1.38
2014/9/27 0:22,0.18,1.4
2014/9/27 0:24,0.18,1.42
2014/9/27 0:26,0.18,1.44
2014/9/27 0:28,0.16,1.47
2014/9/27 0:30,0.18,1.48
2014/9/27 0:32,0.17,1.5
